Waiting on bqjob_r43194d38a232e8fa_0000019dd4a5b1fb_1 ... (0s) Current status: DONE   
dim,driver,val,p,d,s
P,CBT,CBT - ME Reputation,170,15,189
P,CBT,CBT - Reputation,66,17,87
P,CBT,CBT - Moderations,26,4,32
P,CBT,CBT - Package journey,23,7,30
P,CBT,CBT - Publication Management,10,3,15
P,CBT,"CBT - Dispatch, Sales and Listings",8,4,13
P,CBT,CBT - Reverse,5,3,9
P,CBT,CBT - Billing,5,2,7
P,CBT,CBT - Boosters,4,2,6
P,CBT,CBT - Operational Management,4,0,4
P,CBT,FBM - Features - CBT,1,0,1
P,CBT,CBT - Seller MP Features,1,0,1
P,CBT,CBT - My Account,0,1,1
P,Experiencia Impositiva Mature,Emision de Nota Fiscal,24,12,42
P,Experiencia Impositiva Mature,Facturación,20,8,29
P,Experiencia Impositiva Mature,Datos fiscales,1,0,1
P,Experiencia Impositiva Meli Pro,Facturación,4,3,8
P,Experiencia Impositiva Meli Pro,Emision de Nota Fiscal,4,1,5
P,Experiencia Impositiva Seller Dev,Facturación,144,75,242
P,Experiencia Impositiva Seller Dev,Emision de Nota Fiscal,129,26,177
P,Experiencia Impositiva Seller Dev,Datos fiscales,39,7,50
P,FBM-S Mature,FBM - Inventario,32,18,60
P,FBM-S Mature,FBM - Pre Inbound,36,12,59
P,FBM-S Mature,FBM - Post Inbound,24,5,31
P,FBM-S Mature,FBM - Retiro de Stock - Cx One,20,5,30
P,FBM-S Mature,FBM - Funcionalidades,7,4,11
P,FBM-S Mature,FBM - Devoluciones,9,1,10
P,FBM-S Mature,FBM - Outbound,1,0,1
P,FBM-S Mature,Asignación del Contáctanos FBM,1,0,1
P,FBM-S Meli Pro,FBM - Pre Inbound,4,1,7
P,FBM-S Meli Pro,FBM - Post Inbound,1,2,4
P,FBM-S Meli Pro,FBM - Devoluciones,1,2,3
P,FBM-S Meli Pro,FBM - Inventario,1,2,3
P,FBM-S Meli Pro,FBM - Funcionalidades,2,0,2
P,FBM-S Meli Pro,FBM - Retiro de Stock - Cx One,1,1,2
P,FBM-S Meli Pro,FBM - Outbound,1,0,1
